,route_no,latitude,longitude,elevation,time
54,0,51.26283,6.84515,125.0,24.066666666666666
55,0,51.26283,6.84514,125.0,24.066666666666666
56,0,51.26285,6.84516,125.0,24.083333333333332
57,0,51.26264,6.84542,124.0,24.233333333333334
58,0,51.26249,6.84562,123.0,24.366666666666667
59,0,51.26241,6.84568,122.0,24.416666666666668
60,0,51.26243,6.84568,122.0,24.433333333333334
61,0,51.26224662,6.84569478,123.0,24.533333333333335
62,0,51.26127984,6.845501661,122.0,25.133333333333333
63,0,51.26085016,6.845372915,123.0,25.4
64,0,51.26050775,6.845297813,122.0,25.616666666666667
65,0,51.25988335,6.84523344,121.0,26.0
66,0,51.25954094,6.845179796,118.0,26.2
67,0,51.25912467,6.845040321,116.0,26.466666666666665
68,0,51.25865468,6.845083236,115.0,26.75
69,0,51.25854725,6.845093965,114.0,26.816666666666666
70,0,51.25838611,6.845061779,114.0,26.916666666666668
71,0,51.25818468,6.845104694,110.0,27.05
72,0,51.25789597,6.845072507,104.0,27.216666666666665
73,0,51.25759383,6.845061779,97.0,27.4
74,0,51.2573924,6.844997406,93.0,27.533333333333335
75,0,51.25717754,6.845018863,90.0,27.666666666666668
76,0,51.25717,6.84501,90.0,27.666666666666668
77,0,51.25729,6.84291,91.0,28.483333333333334
78,0,51.2573,6.84154,94.0,29.0
79,0,51.25729,6.8413,95.0,29.1
80,0,51.25726,6.84111,94.0,29.166666666666668
81,0,51.25708,6.84037,96.0,29.483333333333334
82,0,51.25707,6.84037,96.0,29.483333333333334
83,0,51.25687,6.8396,96.0,29.8
84,0,51.25656,6.83901,97.0,30.1
85,0,51.25598,6.83813,97.0,30.583333333333332
86,0,51.25535,6.83741,93.0,31.066666666666666
87,0,51.255,6.83698,91.0,31.333333333333332
88,1,51.2486498,6.76186475,39.0,0.0
89,1,51.24864,6.76186,39.0,0.0
90,1,51.24858,6.76174,38.0,0.06666666666666667
91,1,51.24856,6.7617,38.0,0.08333333333333333
92,1,51.24853,6.7616,37.0,0.13333333333333333
93,1,51.24853,6.76155,37.0,0.15
94,1,51.24855,6.76145,37.0,0.2
95,1,51.24856,6.7614,37.0,0.21666666666666667
96,1,51.24862,6.76133,36.0,0.26666666666666666
97,1,51.24868,6.76134,36.0,0.3
98,1,51.24871,6.7614,37.0,0.3333333333333333
99,1,51.24871,6.76146,37.0,0.36666666666666664
100,1,51.24871,6.76145,37.0,0.36666666666666664
101,1,51.24871,6.7615,37.0,0.38333333333333336
102,1,51.24867,6.7616,37.0,0.43333333333333335
103,1,51.24857,6.76166,37.0,0.5166666666666667
104,1,51.2485,6.76162,37.0,0.5666666666666667
105,1,51.24847,6.76158,37.0,0.5833333333333334
106,1,51.24847,6.76157,37.0,0.5833333333333334
107,1,51.24846,6.76156,37.0,0.6
108,1,51.24843,6.7616,37.0,0.6166666666666667
109,1,51.24832,6.76139,37.0,0.7333333333333333
110,1,51.24831,6.76139,37.0,0.75
111,1,51.24757,6.7601,28.0,1.4833333333333334
112,1,51.24757,6.76009,28.0,1.4833333333333334
113,1,51.24599,6.75734,27.0,3.033333333333333
114,1,51.24599,6.75733,27.0,3.05
115,1,51.24532,6.75616,27.0,3.7
116,1,51.24531,6.75616,27.0,3.716666666666667
117,1,51.24478,6.75522,35.0,4.233333333333333
118,1,51.24478,6.75521,35.0,4.25
119,1,51.2441,6.75403,36.0,4.916666666666667
120,1,51.24409,6.75403,36.0,4.916666666666667
121,1,51.24309,6.75227,34.0,5.916666666666667
122,1,51.24309,6.75226,34.0,5.916666666666667
123,1,51.24281,6.75178,37.0,6.183333333333334
124,1,51.2428,6.75178,37.0,6.2
125,1,51.2427,6.7516,38.0,6.3
126,1,51.24268,6.75155,38.0,6.316666666666666
127,1,51.24267,6.75155,38.0,6.333333333333333
128,1,51.2427,6.7516,38.0,6.366666666666666
129,1,51.2425,6.75106,39.0,6.616666666666667
130,1,51.24249,6.75106,39.0,6.633333333333333
131,1,51.24243,6.75089,39.0,6.716666666666667
132,1,51.24246,6.75092,39.0,6.733333333333333
133,1,51.24245,6.75092,39.0,6.733333333333333
134,1,51.24268,6.75124,39.0,6.95
135,1,51.24268,6.75123,39.0,6.95
136,1,51.24286,6.75149,38.0,7.116666666666666
137,1,51.24293,6.75159,37.0,7.166666666666667
138,1,51.24295,6.75165,36.0,7.2
139,1,51.24296,6.75165,36.0,7.2
140,1,51.24295,6.75165,36.0,7.216666666666667
141,1,51.2432,6.75128,38.0,7.433333333333334
142,1,51.24348,6.75084,41.0,7.7
143,1,51.24439,6.7495,43.0,8.533333333333333
144,1,51.24487,6.74872,38.0,8.983333333333333
145,1,51.24537,6.74785,37.0,9.483333333333333
146,1,51.24575,6.74709,38.0,9.883333333333333
147,1,51.24607,6.74643,36.0,10.233333333333333
148,1,51.24626,6.74606,36.0,10.433333333333334
149,1,51.24668,6.74525,38.0,10.866666666666667
150,1,51.24692,6.7447,40.0,11.15
151,1,51.24718,6.74405,42.0,11.466666666666667
152,1,51.24764,6.74259,42.0,12.15
153,1,51.24771,6.74239,42.0,12.25
154,1,51.24796,6.74145,42.0,12.683333333333334
155,1,51.24807,6.74104,42.0,12.866666666666667
156,1,51.24834,6.74005,43.0,13.316666666666666
157,1,51.24874,6.73859,40.0,13.983333333333333
158,1,51.24889,6.738,41.0,14.25
159,1,51.24898,6.73768,40.0,14.4
160,1,51.24905,6.73735,40.0,14.533333333333333
161,1,51.24909,6.73706,40.0,14.666666666666666
162,1,51.24929,6.73585,38.0,15.183333333333334
163,1,51.24949,6.73511,39.0,15.516666666666667
164,1,51.24952,6.73498,39.0,15.583333333333334
165,1,51.24967,6.73447,40.0,15.816666666666666
166,1,51.24977,6.7341,41.0,15.983333333333333
167,1,51.24991,6.73356,40.0,16.233333333333334
168,1,51.24993,6.73316,39.0,16.4
169,1,51.24999,6.73289,38.0,16.516666666666666
170,1,51.25004,6.73274,37.0,16.583333333333332
171,1,51.25008,6.73259,37.0,16.65
172,1,51.25019,6.73233,37.0,16.783333333333335
173,1,51.25059,6.73176,39.0,17.15
174,1,51.25063,6.73161,39.0,17.216666666666665
175,1,51.25072,6.7313,40.0,17.35
176,1,51.25092,6.7306,40.0,17.683333333333334
177,1,51.25093,6.73057,40.0,17.683333333333334
178,1,51.25102,6.73025,38.0,17.833333333333332
179,1,51.2513,6.72927,39.0,18.283333333333335
180,1,51.25143,6.72875,38.0,18.516666666666666
181,1,51.25154,6.72836,37.0,18.7
182,1,51.25156,6.72828,37.0,18.733333333333334
183,1,51.25166,6.72794,38.0,18.9
184,1,51.25178,6.72752,40.0,19.083333333333332
185,1,51.25192,6.72704,41.0,19.3
186,1,51.25224,6.7259,37.0,19.833333333333332
187,1,51.25253,6.72488,37.0,20.3
188,1,51.25257,6.72474,37.0,20.366666666666667
189,1,51.25289,6.72353,35.0,20.9
190,1,51.25296,6.72338,35.0,20.983333333333334
191,1,51.25296,6.72337,35.0,20.983333333333334
192,1,51.25309,6.72292,33.0,21.2
193,1,51.25346,6.72156,31.0,21.816666666666666
194,1,51.2537,6.72071,34.0,22.2
195,1,51.25375,6.7205,33.0,22.3
196,1,51.2539,6.71998,32.0,22.533333333333335
197,1,51.25454,6.71774,34.0,23.566666666666666
198,1,51.25455,6.7177,34.0,23.583333333333332
199,1,51.255,6.7161,33.0,24.316666666666666
200,1,51.25507,6.71584,33.0,24.433333333333334
